text,label,confidence,reason
"Definitely a fair point there, and I agree with you, just feel you could have said it better without being so harsh towards her",reaction,flagged,reaction boundary sample for human review
"There's nothing situational about it. Being under DoD or not isn't what confers whether a branch is ""military"" or not.",reaction,flagged,reaction boundary sample for human review
He'd still beat you around easily,hot_take,flagged,hot_take boundary sample for human review
Watch New England sweep him up🙄,hot_take,flagged,hot_take boundary sample for human review
"This is so sweet! But unfortunately they ended up redacting that goal for goalie interference moments later and [he had to put the celebratory popcorn back]( which he is clearly distraught about, I assume because he very much liked the popcorn and would've have rather swallowed it for his body to metabolize later.",reaction,flagged,reaction boundary sample for human review
THANK YOU FOR YOUR SERVICE,reaction,flagged,reaction boundary sample for human review
"[It's a leg lace.]( This is not like a rear naked choke or [omoplata]( which are intended to inflict so much pain or restrict circulation such that your opponent concedes the match. It's a turn that rolls your opponent, scoring points for exposure (exposing opponent's back to the mat).",analysis,flagged,analysis boundary sample for human review
"You’re right, no one will talk about how a man who barrels through 300 pounders for a living cant hold himself back physically when a female antagonizes him.",reaction,flagged,reaction boundary sample for human review
Yeah the NFL is clearly using the military to try and clean their generally shitty image. Neither side is doing anything worthwhile,reaction,flagged,reaction boundary sample for human review
LaVeon Bell to Kansas City?,hot_take,flagged,hot_take boundary sample for human review
how is this not a bigger news story? disgusting this guy should be banned for life and NFL fined millions for ignoring this,hot_take,flagged,hot_take boundary sample for human review
If you’re talking about the strip then it’s not because he got all ball. If you’re talking about the bump it’s not a foul also since the offensive player initiated contact,analysis,flagged,analysis boundary sample for human review
"I had to stop watching basketball because I could never understand this. You have to be bouncing the ball to walk, and after you stop bouncing you can put your foot down (if it's up), then pick up your other foot, put it down, then pick up your other foot, put it down, then pick up your other foot, but you can't put it down? I don't see how that's different from walking for three steps.",analysis,flagged,analysis boundary sample for human review
"It's a weird technique. There's a monk turned muah thai kickboxer that does the same thing. It has something to do with lining up and protecting you're ""button"" with the angle of you're head and neck. Not 100% but def a mind fuck if you pull it off.",analysis,flagged,analysis boundary sample for human review
"I feel the same. When people ask me if I'm still a Chargers fan, I tell them I'm a Philip Rivers fan. He's really the only reason I still watch and root for them. As soon as Rivers retires I'll likely find another team to root for, or just wait until another team moves to San Diego.",hot_take,flagged,hot_take boundary sample for human review
I was about to make joke about someone wearing a Colin kaepernik jersey and kneeling.,reaction,flagged,reaction boundary sample for human review
"Sure, every game has an impact on recruiting. I think the bigger impact may have come with the media blowing everything up on the topic--""Is Harbaugh done?"", etc. I would be more cautious about committing if I thought he was out the door in the next year or two.",analysis,flagged,analysis boundary sample for human review
"There was video of that brutal display. It’s a shame he is still able to play, especially if Kareem Hunt is purged because of this altercation.",hot_take,flagged,hot_take boundary sample for human review
I was actually at this fight and I can’t even describe how crazy the atmosphere was.,reaction,flagged,reaction boundary sample for human review
"Jesus no, just no. Stfu with this bull.",reaction,flagged,reaction boundary sample for human review
i get that its satire but remember Pat Tillman?,reaction,flagged,reaction boundary sample for human review
These morons likely make multiple times your salary. You do not have the discipline or mental fortitude required to become the kind of people they are. That’s why you’ll never be an athlete and you’re just some guy on Reddit giving your little layman’s take on a sport you’re entirely unfamiliar with.,reaction,flagged,reaction boundary sample for human review
I don't know many names of NBA players outside of the big names in DC. But I know about the Greek Freak.,reaction,flagged,reaction boundary sample for human review
Okay that’s fucking funny,reaction,flagged,reaction boundary sample for human review
Sorta. Time wise it’s an extra quarter. If you get the ball first you get one drive a touch down ends the game. If the other team gets the ball and you didn’t score only a field goal is needed. Field goal-field goal it keeps going. Field goal no field goal first team wins. College rules are different But teams like these that can kinda score at will. Coin toss is win or lose.,analysis,flagged,analysis boundary sample for human review
Cause you didn't catch the first one.,reaction,flagged,reaction boundary sample for human review
"which is nearly impossible at the high level of play in the NFL. I'm all for player safety but some of these pass interference calls are awful and most egregious, completely inconsistent. Sometimes you can rock a receiver before he catches the ball -- no call? Other times the DB and receiver accidentally bump into each other and it's a 65 yard penalty",hot_take,flagged,hot_take boundary sample for human review
"You said anybody who trained in any kind of fighting was not allowed - by your own definition of the club, it was unfair.",analysis,flagged,analysis boundary sample for human review
At 37! He’s been in the league since 20 freakin’ 04. It really is a testament to how hard it is to be a good NFL QB. College superstars get drafted every year and fizzle out in the league. While Brees and Brady and Rivers are among the oldest and still at the top.,analysis,flagged,analysis boundary sample for human review
The ump should've called a balk.,hot_take,flagged,hot_take boundary sample for human review
"Yes and if he did hit those speeds, he may be easier to dodge, as long as you have enough time to predict where he's going and you have enough speed. It's easy to hit someone when they're going slow, but if you're going too fast, you can't be as shifty. Plus he would get a charging penalty. McDavid is shifty enough at the right speed, and has hands that backs the defenseman up, rather than them trying to step on him.",analysis,flagged,analysis boundary sample for human review
"Man, I tried to join the Air Force after high school, but they made it pretty clear to me I needed to drop any dream of being a pilot or PJ. I was a vocational drafting/mechanical engineering and design student and that was what I'd be doing in the Air Force because it was too rare a skill for a young person to have not to take advantage of. A Marines recruiter in the office next door snickered ""Another one for the Chair Force!"" as he overheard the conversation. So I ended up backing out. I didn't really care if I had a non-combat MOS, but I honestly didn't even really like engineering. The thought of doing that instead of something more challenging was a real let down. Like 4 of my buddies did end up enlisting, so I was sad I didn't go with them, but they let me know I didn't miss much haha.",reaction,flagged,reaction boundary sample for human review
"Only 3 teams have won a superbowl with a defense ranked in the 20s. This is why the phrase ""defense wins championships"" is a thing. It might seem illogical, but it's demonstrated by empirical evidence. Teams with bad defenses don't win in the playoffs very often.",analysis,flagged,analysis boundary sample for human review
"Friction operates in both directions when you're running. The frictional force pushing forwards is greater than the frictional force pushing backwards, which is how you accelerate. If there was no friction in the opposite direction, then running records would be in the hundreds of miles per hour.",analysis,flagged,analysis boundary sample for human review
"Ratings are sky high due to NFL shootouts with very little defense. I think this has been the plan for a while and old school blood, sweat and tears football seems to be dying a quick death. And it’s not as if an enterprising coach can change strategy because the rules now dictate this style of play.",analysis,flagged,analysis boundary sample for human review
"Thanks, I’m not American so didn’t know the answer.",reaction,flagged,reaction boundary sample for human review
"I grew up in a navy family. Both my parents are navy vets. My brother has been in the army for 12 years. I know exactly what I’m talking about. He was an idiot, barely passed high school, and would have likely ended up in jail if not for the army getting him out of trouble when they wanted to send him to Iraq. Every guy I grew up with that went into the army was an absolute moron with nothing else going for them. Granted they all joined during the Iraq war when the army was desperate.",reaction,flagged,reaction boundary sample for human review
I would agree with the Chiefs. The other two have ok defenses which are inconsistent. Remember the Rams were just crushing it on Defense for the first half of the season. They're still pretty good despite the last two games. Saints have had subpar defense for the last couple of seasons but have stepped it up this season.,analysis,flagged,analysis boundary sample for human review
